rolleID	name
1310	Miller, Schiffsdetektiv
1311	Kapitän Sherwood
1312	Theodore Quaid
1313	Jamie Peterson, Barmann
1314	Handerson
1315	Diego
1316	Nayeli
1317	Barker
1318	Off-Sprecherin
1319	Deborah
1320	Samuel Rodman
1321	Benjamin Rodman
1322	Vallery Flockheart
1323	Nigel Tillerman
1324	Josh Reilly
1325	Lexington
1326	Journalistin
1327	Prescott
1328	Sergeant Morales
1329	Mr. Arvidson
1330	Mrs. Arvidson
1331	Bradley
1332	Bishop Blake
1333	Junge Frau
1334	Derek
1335	Mrs. Kretschmer
1336	Chastity
1337	Charity
1338	Sam Chiccarelli
1339	Griffin Silverman
1340	Mitch Palmer
1341	Dimitri
1342	Roy
1343	Boss
1344	Cindy
1345	Rockford
1346	Casino-Besucher
1347	Casino-Besucherin
1348	Rezeption 1
1349	Rezeption 2
1350	Fernfahrer
1351	Putzfrau
1352	Harry Salas
1353	Vanessa Goodstein
1354	Eliah Cristobal
1355	Albert Goodstein
1356	Ben Kramer
1357	Fiona Kramer
1358	Jimmy Blue Eye
1359	Rosaria
1360	Silvie
1361	Jessy
1362	Rikuo Yamamoto
1363	Drago Martinez
1364	Fred Osborne
1365	Cecile Jezero
1366	Short
1367	Anthony
1368	Heavy Metal
1369	Arthur Pepper
1370	Rupert
1371	Gwendolyn Pembroke
1372	Lance Vaughn
1373	'The Destroyer'
1374	Darby Farnham
1375	Earl Forrester
1376	Alvin Cray
1377	Mr. Lloyd
1378	Guillermo
1379	Stanley Morgan
1380	Grace Powell
1381	Angus
1382	Baxter
1383	Kranführer
1384	Jeremy Bright
1385	Taylor-Jackson
1386	Francine Breckenridge
1387	A.C. Berany
1388	Samantha
1389	Corvy
1390	Lemuel Garvine
1391	Prof. Roalstad
1392	Gamma
1393	Barfrau
1394	Lederhose
1395	Telefonstimme
1396	Jason
